time, mass, altitude, velocity, Mach
0.00, 49.99, 0.00, 0.00, 0.00
0.01, 49.99, 0.00, 0.00, 0.00
0.02, 49.98, 0.00, 0.00, 0.00
0.03, 49.98, 0.00, 0.00, 0.00
0.04, 49.97, 0.00, 0.00, 0.00
0.05, 49.97, 0.00, 0.00, 0.00
0.06, 49.96, 0.00, 0.00, 0.00
0.07, 49.96, 0.00, 0.00, 0.00
0.08, 49.95, 0.00, 0.00, 0.00
0.09, 49.95, 0.00, 0.00, 0.00
0.10, 49.94, 0.00, 0.00, 0.00
0.11, 49.94, 0.00, 0.00, 0.00
0.12, 49.93, 0.00, 0.00, 0.00
0.13, 49.93, 0.00, 0.00, 0.00
0.14, 49.92, 0.00, 0.00, 0.00
0.15, 49.92, 0.00, 0.00, 0.00
0.16, 49.91, 0.00, 0.00, 0.00
0.17, 49.91, 0.00, 0.00, 0.00
0.18, 49.90, 0.00, 0.00, 0.00
0.19, 49.90, 0.00, 0.00, 0.00
0.20, 49.89, 0.00, 0.00, 0.00
0.21, 49.89, 0.00, 0.00, 0.00
0.22, 49.88, 0.00, 0.00, 0.00
0.23, 49.88, 0.00, 0.00, 0.00
0.24, 49.87, 0.00, 0.00, 0.00
0.25, 49.87, 0.00, 0.00, 0.00
0.26, 49.86, 0.00, 0.00, 0.00
0.27, 49.86, 0.00, 0.00, 0.00
0.28, 49.85, 0.00, 0.00, 0.00
0.29, 49.85, 0.00, 0.00, 0.00
0.30, 49.84, 0.00, 0.00, 0.00
0.31, 49.84, 0.00, 0.00, 0.00
0.32, 49.83, 0.00, 0.00, 0.00
0.33, 49.83, 0.00, 0.00, 0.00
0.34, 49.82, 0.00, 0.00, 0.00
0.35, 49.82, 0.00, 0.00, 0.00
0.36, 49.81, 0.00, 0.00, 0.00
0.37, 49.81, 0.00, 0.00, 0.00
0.38, 49.80, 0.00, 0.00, 0.00
0.39, 49.80, 0.00, 0.00, 0.00
0.40, 49.79, 0.00, 0.00, 0.00
0.41, 49.79, 0.00, 0.00, 0.00
0.42, 49.78, 0.00, 0.00, 0.00
0.43, 49.78, 0.00, 0.00, 0.00
0.44, 49.77, 0.00, 0.00, 0.00
0.45, 49.77, 0.00, 0.00, 0.00
0.46, 49.76, 0.00, 0.00, 0.00
0.47, 49.76, 0.00, 0.00, 0.00
0.48, 49.75, 0.00, 0.00, 0.00
0.49, 49.75, 0.00, 0.00, 0.00
0.50, 49.74, 0.00, 0.00, 0.00
0.51, 49.74, 0.00, 0.00, 0.00
0.52, 49.73, 0.00, 0.00, 0.00
0.53, 49.73, 0.00, 0.00, 0.00
0.54, 49.72, 0.00, 0.00, 0.00
0.55, 49.72, 0.00, 0.00, 0.00
0.56, 49.71, 0.00, 0.00, 0.00
0.57, 49.71, 0.00, 0.00, 0.00
0.58, 49.70, 0.00, 0.00, 0.00
0.59, 49.70, 0.00, 0.00, 0.00
0.60, 49.69, 0.00, 0.00, 0.00
0.61, 49.69, 0.00, 0.00, 0.00
0.62, 49.68, 0.00, 0.00, 0.00
0.63, 49.68, 0.00, 0.00, 0.00
0.64, 49.67, 0.00, 0.00, 0.00
0.65, 49.67, 0.00, 0.00, 0.00
0.66, 49.66, 0.00, 0.00, 0.00
0.67, 49.66, 0.00, 0.00, 0.00
0.68, 49.65, 0.00, 0.00, 0.00
0.69, 49.65, 0.00, 0.00, 0.00
0.70, 49.64, 0.00, 0.00, 0.00
0.71, 49.64, 0.00, 0.00, 0.00
0.72, 49.63, 0.00, 0.00, 0.00
0.73, 49.63, 0.00, 0.00, 0.00
0.74, 49.62, 0.00, 0.00, 0.00
0.75, 49.62, 0.00, 0.00, 0.00
0.76, 49.61, 0.00, 0.00, 0.00
0.77, 49.61, 0.00, 0.00, 0.00
0.78, 49.60, 0.00, 0.00, 0.00
0.79, 49.60, 0.00, 0.00, 0.00
0.80, 49.59, 0.00, 0.00, 0.00
0.81, 49.59, 0.00, 0.00, 0.00
0.82, 49.58, 0.00, 0.00, 0.00
0.83, 49.58, 0.00, 0.00, 0.00
0.84, 49.57, 0.00, 0.00, 0.00
0.85, 49.57, 0.00, 0.00, 0.00
0.86, 49.56, 0.00, 0.00, 0.00
0.87, 49.56, 0.00, 0.00, 0.00
0.88, 49.55, 0.00, 0.00, 0.00
0.89, 49.55, 0.00, 0.00, 0.00
0.90, 49.54, 0.00, 0.00, 0.00
0.91, 49.54, 0.00, 0.00, 0.00
0.92, 49.53, 0.00, 0.00, 0.00
0.93, 49.53, 0.00, 0.00, 0.00
0.94, 49.52, 0.00, 0.00, 0.00
0.95, 49.52, 0.00, 0.00, 0.00
0.96, 49.51, 0.00, 0.00, 0.00
0.97, 49.51, 0.00, 0.00, 0.00
0.98, 49.50, 0.00, 0.00, 0.00
0.99, 49.50, 0.00, 0.00, 0.00
1.00, 49.49, 0.00, 0.00, 0.00
1.01, 49.49, 0.00, 0.00, 0.00
1.02, 49.48, 0.00, 0.00, 0.00
1.03, 49.48, 0.00, 0.00, 0.00
1.04, 49.47, 0.00, 0.00, 0.00
1.05, 49.47, 0.00, 0.00, 0.00
1.06, 49.46, 0.00, 0.00, 0.00
1.07, 49.46, 0.00, 0.00, 0.00
1.08, 49.45, 0.00, 0.00, 0.00
1.09, 49.45, 0.00, 0.00, 0.00
1.10, 49.44, 0.00, 0.00, 0.00
1.11, 49.44, 0.00, 0.00, 0.00
1.12, 49.43, 0.00, 0.00, 0.00
1.13, 49.43, 0.00, 0.00, 0.00
1.14, 49.42, 0.00, 0.00, 0.00
1.15, 49.42, 0.00, 0.00, 0.00
1.16, 49.41, 0.00, 0.00, 0.00
1.17, 49.41, 0.00, 0.00, 0.00
1.18, 49.40, 0.00, 0.00, 0.00
1.19, 49.40, 0.00, 0.00, 0.00
1.20, 49.39, 0.00, 0.00, 0.00
1.21, 49.39, 0.00, 0.00, 0.00
1.22, 49.38, 0.00, 0.00, 0.00
1.23, 49.38, 0.00, 0.00, 0.00
1.24, 49.37, 0.00, 0.00, 0.00
1.25, 49.37, 0.00, 0.00, 0.00
1.26, 49.36, 0.00, 0.00, 0.00
1.27, 49.36, 0.00, 0.00, 0.00
1.28, 49.35, 0.00, 0.00, 0.00
1.29, 49.35, 0.00, 0.00, 0.00
1.30, 49.34, 0.00, 0.00, 0.00
1.31, 49.34, 0.00, 0.00, 0.00
1.32, 49.33, 0.00, 0.00, 0.00
1.33, 49.33, 0.00, 0.00, 0.00
1.34, 49.32, 0.00, 0.00, 0.00
1.35, 49.32, 0.00, 0.00, 0.00
1.36, 49.31, 0.00, 0.00, 0.00
1.37, 49.31, 0.00, 0.00, 0.00
1.38, 49.30, 0.00, 0.00, 0.00
1.39, 49.30, 0.00, 0.00, 0.00
1.40, 49.29, 0.00, 0.00, 0.00
1.41, 49.29, 0.00, 0.00, 0.00
1.42, 49.28, 0.00, 0.00, 0.00
1.43, 49.28, 0.00, 0.00, 0.00
1.44, 49.27, 0.00, 0.00, 0.00
1.45, 49.27, 0.00, 0.00, 0.00
1.46, 49.26, 0.00, 0.00, 0.00
1.47, 49.26, 0.00, 0.00, 0.00
1.48, 49.25, 0.00, 0.00, 0.00
1.49, 49.25, 0.00, 0.00, 0.00
1.50, 49.24, 0.00, 0.00, 0.00
1.51, 49.24, 0.00, 0.00, 0.00
1.52, 49.23, 0.00, 0.00, 0.00
1.53, 49.23, 0.00, 0.00, 0.00
1.54, 49.22, 0.00, 0.00, 0.00
1.55, 49.22, 0.00, 0.00, 0.00
1.56, 49.21, 0.00, 0.00, 0.00
1.57, 49.21, 0.00, 0.00, 0.00
1.58, 49.20, 0.00, 0.00, 0.00
1.59, 49.20, 0.00, 0.00, 0.00
1.60, 49.19, 0.00, 0.00, 0.00
1.61, 49.19, 0.00, 0.00, 0.00
1.62, 49.18, 0.00, 0.00, 0.00
1.63, 49.18, 0.00, 0.00, 0.00
1.64, 49.17, 0.00, 0.00, 0.00
1.65, 49.17, 0.00, 0.00, 0.00
1.66, 49.16, 0.00, 0.00, 0.00
1.67, 49.16, 0.00, 0.00, 0.00
1.68, 49.15, 0.00, 0.00, 0.00
1.69, 49.15, 0.00, 0.00, 0.00
1.70, 49.14, 0.00, 0.00, 0.00
1.71, 49.14, 0.00, 0.00, 0.00
1.72, 49.13, 0.00, 0.00, 0.00
1.73, 49.13, 0.00, 0.00, 0.00
1.74, 49.12, 0.00, 0.00, 0.00
1.75, 49.12, 0.00, 0.00, 0.00
1.76, 49.11, 0.00, 0.00, 0.00
1.77, 49.11, 0.00, 0.00, 0.00
1.78, 49.10, 0.00, 0.00, 0.00
1.79, 49.10, 0.00, 0.00, 0.00
1.80, 49.09, 0.00, 0.00, 0.00
1.81, 49.09, 0.00, 0.00, 0.00
1.82, 49.08, 0.00, 0.00, 0.00
1.83, 49.08, 0.00, 0.00, 0.00
1.84, 49.07, 0.00, 0.00, 0.00
1.85, 49.07, 0.00, 0.00, 0.00
1.86, 49.06, 0.00, 0.00, 0.00
1.87, 49.06, 0.00, 0.00, 0.00
1.88, 49.05, 0.00, 0.00, 0.00
1.89, 49.05, 0.00, 0.00, 0.00
1.90, 49.04, 0.00, 0.00, 0.00
1.91, 49.04, 0.00, 0.00, 0.00
1.92, 49.03, 0.00, 0.00, 0.00
1.93, 49.03, 0.00, 0.00, 0.00
1.94, 49.02, 0.00, 0.00, 0.00
1.95, 49.02, 0.00, 0.00, 0.00
1.96, 49.01, 0.00, 0.00, 0.00
1.97, 49.01, 0.00, 0.00, 0.00
1.98, 49.00, 0.00, 0.00, 0.00
1.99, 49.00, 0.00, 0.00, 0.00
2.00, 48.99, 0.00, 0.00, 0.00
2.01, 48.99, 0.00, 0.00, 0.00
2.02, 48.98, 0.00, 0.00, 0.00
2.03, 48.98, 0.00, 0.00, 0.00
2.04, 48.97, 0.00, 0.00, 0.00
2.05, 48.97, 0.00, 0.00, 0.00
2.06, 48.96, 0.00, 0.00, 0.00
2.07, 48.96, 0.00, 0.00, 0.00
2.08, 48.95, 0.00, 0.00, 0.00
2.09, 48.95, 0.00, 0.00, 0.00
2.10, 48.94, 0.00, 0.00, 0.00
2.11, 48.94, 0.00, 0.00, 0.00
2.12, 48.93, 0.00, 0.00, 0.00
2.13, 48.93, 0.00, 0.00, 0.00
2.14, 48.92, 0.00, 0.00, 0.00
2.15, 48.92, 0.00, 0.00, 0.00
2.16, 48.91, 0.00, 0.00, 0.00
2.17, 48.91, 0.00, 0.00, 0.00
2.18, 48.90, 0.00, 0.00, 0.00
2.19, 48.90, 0.00, 0.00, 0.00
2.20, 48.89, 0.00, 0.00, 0.00
2.21, 48.89, 0.00, 0.00, 0.00
2.22, 48.88, 0.00, 0.00, 0.00
2.23, 48.88, 0.00, 0.00, 0.00
2.24, 48.87, 0.00, 0.00, 0.00
2.25, 48.87, 0.00, 0.00, 0.00
2.26, 48.86, 0.00, 0.00, 0.00
2.27, 48.86, 0.00, 0.00, 0.00
2.28, 48.85, 0.00, 0.00, 0.00
2.29, 48.85, 0.00, 0.00, 0.00
2.30, 48.84, 0.00, 0.00, 0.00
2.31, 48.84, 0.00, 0.00, 0.00
2.32, 48.83, 0.00, 0.00, 0.00
2.33, 48.83, 0.00, 0.00, 0.00
2.34, 48.82, 0.00, 0.00, 0.00
2.35, 48.82, 0.00, 0.00, 0.00
2.36, 48.81, 0.00, 0.00, 0.00
2.37, 48.81, 0.00, 0.00, 0.00
2.38, 48.80, 0.00, 0.00, 0.00
2.39, 48.80, 0.00, 0.00, 0.00
2.40, 48.79, 0.00, 0.00, 0.00
2.41, 48.79, 0.00, 0.00, 0.00
2.42, 48.78, 0.00, 0.00, 0.00
2.43, 48.78, 0.00, 0.00, 0.00
2.44, 48.77, 0.00, 0.00, 0.00
2.45, 48.77, 0.00, 0.00, 0.00
2.46, 48.76, 0.00, 0.00, 0.00
2.47, 48.76, 0.00, 0.00, 0.00
2.48, 48.75, 0.00, 0.00, 0.00
2.49, 48.75, 0.00, 0.00, 0.00
2.50, 48.74, 0.00, 0.00, 0.00
2.51, 48.74, 0.00, 0.00, 0.00
2.52, 48.73, 0.00, 0.00, 0.00
2.53, 48.73, 0.00, 0.00, 0.00
2.54, 48.72, 0.00, 0.00, 0.00
2.55, 48.72, 0.00, 0.00, 0.00
2.56, 48.71, 0.00, 0.00, 0.00
2.57, 48.71, 0.00, 0.00, 0.00
2.58, 48.70, 0.00, 0.00, 0.00
2.59, 48.70, 0.00, 0.00, 0.00
2.60, 48.69, 0.00, 0.00, 0.00
2.61, 48.69, 0.00, 0.00, 0.00
2.62, 48.68, 0.00, 0.00, 0.00
2.63, 48.68, 0.00, 0.00, 0.00
2.64, 48.67, 0.00, 0.00, 0.00
2.65, 48.67, 0.00, 0.00, 0.00
2.66, 48.66, 0.00, 0.00, 0.00
2.67, 48.66, 0.00, 0.00, 0.00
2.68, 48.65, 0.00, 0.00, 0.00
2.69, 48.65, 0.00, 0.00, 0.00
2.70, 48.64, 0.00, 0.00, 0.00
2.71, 48.64, 0.00, 0.00, 0.00
2.72, 48.63, 0.00, 0.00, 0.00
2.73, 48.63, 0.00, 0.00, 0.00
2.74, 48.62, 0.00, 0.00, 0.00
2.75, 48.62, 0.00, 0.00, 0.00
2.76, 48.61, 0.00, 0.00, 0.00
2.77, 48.61, 0.00, 0.00, 0.00
2.78, 48.60, 0.00, 0.00, 0.00
2.79, 48.60, 0.00, 0.00, 0.00
2.80, 48.59, 0.00, 0.00, 0.00
2.81, 48.59, 0.00, 0.00, 0.00
2.82, 48.58, 0.00, 0.00, 0.00
2.83, 48.58, 0.00, 0.00, 0.00
2.84, 48.57, 0.00, 0.00, 0.00
2.85, 48.57, 0.00, 0.00, 0.00
2.86, 48.56, 0.00, 0.00, 0.00
2.87, 48.56, 0.00, 0.00, 0.00
2.88, 48.55, 0.00, 0.00, 0.00
2.89, 48.55, 0.00, 0.00, 0.00
